651,151,0,1
650,145,1.6405,1
658,136,3.2476,1
660,129,1.9634,1
674,116,5.1526,1
684,107,3.6284,1
695,104,3.0751,1
707,99,3.5061,1
716,90,3.4327,1
725,82,3.2476,1
734,77,2.7767,1
734,76,0.2697,1
756,59,7.4984,1
749,66,2.6699,1
756,57,3.0751,1
756,57,0,1
756,57,0,1
756,57,0,1
540,88,58.852,1
541,89,0.38141,1
545,88,1.112,1
553,91,2.3043,1
551,98,1.9634,1
546,96,1.4524,1
545,99,0.85287,1
545,101,0.5394,1
545,102,0.2697,1
547,106,1.2061,1
547,110,1.0788,1
551,125,4.1869,1
555,133,2.4123,1
558,144,3.0751,1
558,154,2.697,1
556,164,2.7504,1
554,177,3.5473,1
556,187,2.7504,1
556,195,2.1576,1
558,203,2.224,1
558,208,1.3485,1
555,217,2.5586,1
549,229,3.6184,1
538,226,3.0751,1
531,229,2.054,1
523,229,2.1576,1
523,229,0,1
508,236,4.4643,1
516,229,2.867,1
519,217,3.336,1
519,211,1.6182,1
519,206,1.3485,1
525,201,2.1064,1
531,202,1.6405,1
547,206,4.448,1
557,206,2.697,1
568,208,3.0153,1
579,210,3.0153,1
590,211,2.9789,1
601,213,3.0153,1
611,215,2.7504,1
623,219,3.4115,1
635,221,3.281,1
648,226,3.7565,1
655,225,1.9071,1
671,230,4.521,1
676,221,2.7767,1
689,217,3.6683,1
666,18,54.028,2
663,15,1.1442,2
651,12,3.336,2
642,10,2.4865,2
637,11,1.3752,2
627,15,2.9048,2
623,26,3.1568,2
613,31,3.0153,2
603,37,3.1452,2
592,37,2.9667,2
579,36,3.5165,2
568,40,3.1568,2
561,45,2.32,2
552,50,2.7767,2
542,52,2.7504,2
533,48,2.6562,2
526,40,2.867,2
518,38,2.224,2
509,38,2.4273,2
501,36,2.224,2
491,33,2.8158,2
480,25,3.6683,2
471,21,2.6562,2
463,17,2.4123,2
455,9,3.0513,2
453,11,0.76283,2
454,17,1.6405,2
455,20,0.85287,2
455,23,0.8091,2
455,28,1.3485,2
461,33,2.1064,2
460,38,1.3752,2
457,43,1.5726,2
