"phase","phase_type","safe_location","FC_1","FC_11","FS_9","OL_CS_1"
2,"trial","long",0,0,NA,NA
2,"trial","short",NA,NA,1,NA
2,"trial",NA,NA,NA,NA,0
4,"trial","long",0,0,1,NA
4,"trial",NA,NA,NA,NA,0
6,"trial","long",NA,NA,1,NA
6,"trial","short",0,0,NA,NA
6,"trial",NA,NA,NA,NA,0
8,"trial","short",0,0,1,NA
8,"trial",NA,NA,NA,NA,0
10,"trial","long",0,0,NA,NA
10,"trial","short",NA,NA,1,NA
10,"trial",NA,NA,NA,NA,0
12,"trial","long",NA,0,1,NA
12,"trial","short",0,NA,NA,NA
12,"trial",NA,NA,NA,NA,0
14,"trial","long",0,NA,NA,NA
14,"trial","short",NA,0,1,NA
14,"trial",NA,NA,NA,NA,0
16,"trial","short",0,0,1,NA
16,"trial",NA,NA,NA,NA,0
18,"trial","long",NA,0,1,NA
18,"trial","short",0,NA,NA,NA
18,"trial",NA,NA,NA,NA,0
20,"trial","short",0,0,1,NA
20,"trial",NA,NA,NA,NA,0
22,"trial","long",0,NA,1,NA
22,"trial","short",NA,0,NA,NA
22,"trial",NA,NA,NA,NA,0
24,"trial","long",NA,0,1,NA
24,"trial","short",0,NA,NA,NA
24,"trial",NA,NA,NA,NA,0
26,"trial","long",0,NA,1,NA
26,"trial","short",NA,0,NA,NA
26,"trial",NA,NA,NA,NA,0
28,"trial","long",0,NA,NA,NA
28,"trial","short",NA,0,1,NA
28,"trial",NA,NA,NA,NA,0
30,"trial","long",NA,0,1,NA
30,"trial","short",0,NA,NA,NA
30,"trial",NA,NA,NA,NA,0
32,"trial","long",0,0,NA,NA
32,"trial","short",NA,NA,1,NA
32,"trial",NA,NA,NA,NA,0
34,"trial","long",0,0,1,NA
34,"trial",NA,NA,NA,NA,0
36,"trial","long",0,NA,1,NA
36,"trial","short",NA,0,NA,NA
36,"trial",NA,NA,NA,NA,0
38,"trial","long",NA,0,NA,NA
38,"trial","short",0,NA,1,NA
38,"trial",NA,NA,NA,NA,0
40,"trial","long",0,NA,1,NA
40,"trial","short",NA,0,NA,NA
40,"trial",NA,NA,NA,NA,0
42,"trial","long",0,NA,NA,NA
42,"trial","short",NA,0,1,NA
42,"trial",NA,NA,NA,NA,0
44,"trial","long",0,NA,1,NA
44,"trial","short",NA,0,NA,NA
44,"trial",NA,NA,NA,NA,0
46,"trial","long",NA,0,NA,NA
46,"trial","short",0,NA,1,NA
46,"trial",NA,NA,NA,NA,0
48,"trial","long",0,0,NA,NA
48,"trial","short",NA,NA,1,NA
48,"trial",NA,NA,NA,NA,0
50,"trial","long",NA,0,NA,NA
50,"trial","short",0,NA,1,NA
50,"trial",NA,NA,NA,NA,0
52,"trial","long",NA,NA,1,NA
52,"trial","short",0,0,NA,NA
52,"trial",NA,NA,NA,NA,0
54,"trial","short",0,0,1,NA
54,"trial",NA,NA,NA,NA,0
56,"trial","long",0,0,NA,NA
56,"trial","short",NA,NA,1,NA
56,"trial",NA,NA,NA,NA,0
58,"trial","long",NA,NA,1,NA
58,"trial","short",0,0,NA,NA
58,"trial",NA,NA,NA,NA,0
60,"trial","long",NA,0,1,NA
60,"trial","short",0,NA,NA,NA
60,"trial",NA,NA,NA,NA,0
