174,143,0,1
170,152,2.6562,1
173,154,0.97242,1
171,166,3.281,1
169,177,3.0153,1
166,184,2.054,1
162,191,2.1744,1
156,195,1.9448,1
148,194,2.1744,1
141,196,1.9634,1
134,198,1.9634,1
127,200,1.9634,1
121,206,2.2885,1
116,213,2.32,1
110,225,3.6184,1
104,228,1.8092,1
95,222,2.9173,1
86,217,2.7767,1
74,214,3.336,1
65,210,2.6562,1
56,205,2.7767,1
44,203,3.281,1
34,200,2.8158,1
27,200,1.8879,1
23,200,1.0788,1
26,199,0.85287,1
23,191,2.3043,1
27,186,1.7269,1
28,183,0.85287,1
30,179,1.2061,1
34,171,2.4123,1
42,167,2.4123,1
42,159,2.1576,1
40,152,1.9634,1
36,142,2.9048,1
33,132,2.8158,1
29,122,2.9048,1
26,111,3.0751,1
22,97,3.9269,1
20,91,1.7057,1
20,84,1.8879,1
29,73,3.8332,1
38,65,3.2476,1
46,54,3.6683,1
54,46,3.0513,1
63,40,2.9173,1
69,33,2.4865,1
74,24,2.7767,1
78,17,2.1744,1
87,10,3.0751,1
97,14,2.9048,1
236,100,44.083,1
227,98,2.4865,1
218,95,2.5586,1
210,92,2.3043,1
199,89,3.0751,1
183,86,4.3904,1
174,87,2.4422,1
169,86,1.3752,2
167,84,0.76283,2
165,81,0.97242,2
163,75,1.7057,2
162,70,1.3752,2
162,66,1.0788,2
169,60,2.4865,2
172,54,1.8092,2
173,51,0.85287,2
173,48,0.8091,2
172,47,0.38141,2
167,41,2.1064,2
158,43,2.4865,2
151,44,1.9071,2
138,45,3.5165,2
127,45,2.9667,2
116,47,3.0153,2
106,47,2.697,2
83,49,6.2265,2
74,48,2.4422,2
64,48,2.697,2
55,48,2.4273,2
46,46,2.4865,2
37,43,2.5586,2
31,42,1.6405,2
28,46,1.3485,2
21,49,2.054,2
36,44,4.2643,2
39,44,0.8091,2
30,29,4.7178,2
33,19,2.8158,2
